system,real
chitetsu_3149,544
chitetsu_3150,547
chitetsu_3151,531
chitetsu_3153,186
chitetsu_3154,551
chitetsu_3377,168
chitetsu_3381,161
chitetsu_3382,177
chitetsu_3385,181
chitetsu_3391,152
chitetsu_3396,167
chitetsu_3397,3612
chitetsu_3409,761
chitetsu_3415,550
chitetsu_3416,763
chitetsu_3420,157
chitetsu_3422,169
chitetsu_3424,146
chitetsu_3428,123
chitetsu_3431,164
chitetsu_3436,539
chitetsu_3440,546
chitetsu_3445,163
chitetsu_3446,175
chitetsu_3447,549
chitetsu_3448,529
chitetsu_3452,553
chitetsu_3454,532
chitetsu_3456,552
chitetsu_3460,162
chitetsu_3462,151
chitetsu_3463,608
chitetsu_3466,542
chitetsu_3469,143
chitetsu_3475,171
chitetsu_3477,160
chitetsu_3478,541
chitetsu_3479,159
chitetsu_3480,545
chitetsu_3481,145
chitetsu_3482,172
chitetsu_3483,537
chitetsu_3484,165
chitetsu_3488,554
chitetsu_3493,134
chitetsu_3494,173
chitetsu_3499,115
chitetsu_3509,517
chitetsu_3512,518
chitetsu_3516,122
chitetsu_3518,170
chitetsu_3577,180
chitetsu_3639,7007
chitetsu_3640,185
chitetsu_3641,176
chitetsu_3643,7006
chitetsu_3644,7005
chitetsu_3716,178
chitetsu_5417,183
chitetsu_5474,188
chitetsu_5475,187
chitetsu_5634,189
chitetsu_5699,191
chitetsu_5970,192
chitetsu_5973,193
chitetsu_6076,194
chitetsu_6077,195
chitetsu_6144,196
chitetsu_6303,543
chitetsu_6320,538
chitetsu_6328,179
chitetsu_6375,197
chitetsu_6376,198
chitetsu_6377,199
chitetsu_6466,202
chitetsu_6467,201
chitetsu_6468,200
chitetsu_6711,203
chitetsu_6712,204
chitetsu_6713,205
chitetsu_6816,206
